filename,category,rhythm,details
011.png,,Sinus Bradycardia,
012.png,,Sinus Bradycardia,PVC(s)
013.png,,Sinus Rhythm,PVC(s)
014.png,,Sinus Rhythm,Ventricular Bigeminy
015.png,,Sinus Rhythm,Ventricular Trigeminy
016.png,,Sinus Rhythm,Ventricular Trigeminy
017.png,,Sinus Rhythm,Ventricular Bigeminy
018.png,,PSVT,Sinus Rhythm
019.png,,SV Triplet,Sinus Rhythm
020.png,,PSVT,Sinus Rhythm
021.png,,PSVT,Sinus Rhythm
022.png,,SV Couplet,Sinus Rhythm
023.png,,SV Couplet,Sinus Rhythm
024.png,,Ventricular Couplet,Sinus Rhythm
025.png,,Ventricular Couplet,Sinus Rhythm
026.png,,VT  8 Beats,Sinus Rhythm
027.png,,Sinus Rhythm,VT  7 Beats
028.png,,Sinus Rhythm,SV Couplet
029.png,,Sinus Rhythm,SV Couplet
030.png,,Sinus Rhythm,SV Couplet
